id,fuel_percent,fuel_liters,available,model_id
78634,42.0,21.00,True,60
78648,63.0,31.50,True,60
78726,64.0,32.00,True,60
78727,27.0,13.50,True,60
78733,33.0,16.50,True,60
78740,31.0,15.50,True,60
78746,31.0,15.50,True,60
78776,57.0,28.50,True,60
78792,35.0,17.50,True,60
78794,92.0,46.00,True,60
78812,61.0,30.50,True,60
83438,30.0,15.00,True,60
83465,90.0,45.00,True,60
83518,93.0,46.50,True,60
83550,45.0,22.50,True,60
83580,82.0,41.00,True,60
83594,65.0,32.50,True,60
83634,51.0,25.50,True,60
83657,41.0,20.50,True,60
83703,25.0,12.50,True,60
83740,43.0,21.50,True,60
83767,50.0,25.00,True,60
83790,96.0,48.00,True,60
83841,55.0,27.50,True,60
83886,82.0,41.00,True,60
87750,90.0,45.00,True,60
87780,48.0,24.00,True,60
87833,84.0,42.00,True,60
88001,54.0,27.00,True,60
88041,84.0,42.00,True,60
84313,18.0,9.00,True,65
